名称,英文名,评分,评论数,图片 URL
古镇泗泾,Sijing Ancient Town,4.1,132,https://dimg04.c-ctrip.com/images/0100u1200086y8mt00E33_C_320_320.jpg
广富林文化展示馆,Guangfulin Cultural Exhibition Hall,4.7,115,https://dimg04.c-ctrip.com/images/01015120008bwbntk40C3_C_320_320.jpg
大梦微城-上海国际汽车城微缩景观主题乐园,Dreamland Shanghai International Automobile City Miniature Land Theme Park,4.6,112,https://dimg04.c-ctrip.com/images/1lo3w12000fqryoa482E9_C_320_320.jpg
世博文化公园,World Expo Cultural Park,4.5,112,https://dimg04.c-ctrip.com/images/0103y120009dgze597966_C_320_320.jpg
上海蟠龙天地,Shanghai Panlong Tiandi,4.4,107,https://dimg04.c-ctrip.com/images/1me2j12000b2z3wwwD3CB_C_320_320.jpg
上海天文博物馆,Shanghai Astronomical Museum,4.6,94,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/60/F6/CghzgFSuJuCAApS9AAMbMKQ1UV4857_C_320_320.jpg
金茂大厦云中漫步,Jin Mao Tower Skywalk,4.6,94,https://dimg04.c-ctrip.com/images/0105a120007h24mtfD18D_C_320_320.jpg
“水晶公主”黄浦江游船,“Crystal Princess” Huangpu River Cruise,4.0,105,https://dimg04.c-ctrip.com/images/0104a120008ecumcj4049_C_320_320.jpg
上海温室花园,Shanghai Greenhouse Garden,4.7,86,https://dimg04.c-ctrip.com/images/1lo3m12000ffjnni2028A_C_320_320.jpg
南京西路,West Nanjing Road,4.6,87,https://dimg04.c-ctrip.com/images/1A0l14000000w0741CE47_C_320_320.jpg
超级时空魔方(上海元宇宙体验馆),Space & Time Cube,3.7,106,https://dimg04.c-ctrip.com/images/01A4812000b5rfkizAFC9_C_320_320.jpg
水裹·汤泉生活,Shuiguo - Hot Spring,4.4,73,https://dimg04.c-ctrip.com/images/01072120008u51g2sFE3D_C_320_320.jpg
韩国街,Hanguo Street,4.5,71,https://dimg04.c-ctrip.com/images/0102b1200002cbotoE6A7_C_320_320.jpg
奈尔宝儿童科技馆(上海店),Neobio Children's Museum(Shanghai）,4.4,71,https://dimg04.c-ctrip.com/images/0105z12000a8ymoliF6AA_C_320_320.jpg
351米太空舱,351m Space Capsule,4.6,54,https://dimg04.c-ctrip.com/images/01064120005zur6b6B8E1_C_320_320.jpg
飞越上海(第一百货店),,4.8,50,https://dimg04.c-ctrip.com/images/1lo5212000c4pjwzm2B13_C_320_320.jpg
迪士尼·皮克斯玩具总动员,Disney Pixar Toy Story,4.6,49,https://dimg04.c-ctrip.com/images/100w0t000000iuz049180_C_320_320.jpg
上海博物馆(东馆),Shanghai Museum East Museum,4.6,48,https://dimg04.c-ctrip.com/images/0104m12000cb2zk968876_C_320_320.jpg
徐家汇书院,Zikawei Library,4.8,43,https://dimg04.c-ctrip.com/images/0106f12000f29wglyE4F7_C_320_320.jpg
枫叶岛,Maple Island,4.2,43,https://dimg04.c-ctrip.com/images/10090e00000077u2l56E8_C_320_320.jpg
Paradox Museum 悖论博物馆,Paradox Museum Shanghai,4.5,30,https://dimg04.c-ctrip.com/images/1lo3k12000fqx1p8dD50A_C_320_320.png
疯狂动物城,Zootopia,4.7,29,https://dimg04.c-ctrip.com/images/1lo6312000dmg35udA7C8_C_320_320.png
川沙古镇,Chuansha Ancient Town,4.1,32,https://dimg04.c-ctrip.com/images/0103n1200094130tcCFCF_C_320_320.jpg
双子山,Twin Mountains,4.7,26,https://dimg04.c-ctrip.com/images/0104s12000fhfizdn026B_C_320_320.jpg
上海上引+,,4.6,21,https://dimg04.c-ctrip.com/images/1lo2712000baed3etB5EF_C_320_320.png
白公馆,Former Residence of Bai Chongxi,4.5,19,https://dimg04.c-ctrip.com/images/0100r12000az4jphi85F5_C_320_320.jpg
广富林水下博物馆,Guangfulin Underwater Museum,4.7,18,https://dimg04.c-ctrip.com/images/0100g120009aql1b95272_C_320_320.jpg
「上海首展」中国国家地理·探索 极致发现科学艺术影像展,Chinese National Geography Explore exhibition (Shanghai),5.0,15,https://dimg04.c-ctrip.com/images/1me2p12000fm7laxd4F03_C_320_320.jpg
海上花岛玫瑰汤泉,Sea Flower Island Rose Tangquan,4.4,14,https://dimg04.c-ctrip.com/images/0100y120008ifmo3qD7B1_C_320_320.jpg
